src,year,sbj,grp,mean,level1c,level1b,level1a,level2,level3,level4,level5,level6,men,women,lower,middle,high
PISA,2012,Math,Hebrew,489,,10,14,22,24,18,9,3,496,481,440,486,536
PISA,2012,Math,HebrewOfficial,500,,,,,,,,,512,489,453,491,539
PISA,2012,Math,HebrewReligious,488,,,,,,,,,495,478,437,491,531
PISA,2012,Math,HebrewOrthodox,,,,,,,,,,,465,,,
PISA,2012,Math,Arabic,388,,37,30,20,10,3,,,383,392,373,391,430
PISA,2012,Math,OECD,494,,8,15,22,24,18,9,3,499,489,,,
PISA,2012,Math,Israel,466,,16,18,22,21,15,7,2,,,,,
PISA,2012,MathCompExam,Hebrew,467,,15,16,23,23,16,7,1,471,463,420,461,512
PISA,2012,MathCompExam,HebrewOfficial,479,,,,,,,,,487,471,433,470,516
PISA,2012,MathCompExam,HebrewReligious,466,,,,,,,,,462,471,413,464,509
PISA,2012,MathCompExam,HebrewOrthodox,,,,,,,,,,,435,,,
PISA,2012,MathCompExam,Arabic,375,,42,25,20,10,3,,,363,385,365,373,404
PISA,2012,MathCompExam,OECD,497,,7,13,23,26,20,9,3,503,491,,,
PISA,2012,MathCompExam,Israel,447,,21,18,22,20,13,5,1,,,,,
PISA,2012,Reading,Hebrew,510,2,4,10,19,28,25,10,2,490,529,469,508,551
PISA,2012,Reading,HebrewOfficial,521,,,,,,,,,505,537,480,514,557
PISA,2012,Reading,HebrewReligious,506,,,,,,,,,493,525,472,505,542
PISA,2012,Reading,HebrewOrthodox,,,,,,,,,,,512,,,
PISA,2012,Reading,Arabic,401,10,16,24,28,17,5,1,,363,435,394,403,434
PISA,2012,Reading,OECD,496,1,4,12,23,29,21,7,1,478,515,,,
PISA,2012,Reading,Israel,486,4,7,13,21,25,21,8,2,,,,,
PISA,2012,ReadingDigital,Hebrew,495,,,18,23,29,22,8,,483,508,454,492,538
PISA,2012,ReadingDigital,HebrewOfficial,513,,,,,,,,,504,521,467,505,547
PISA,2012,ReadingDigital,HebrewReligious,480,,,,,,,,,460,513,439,479,517
PISA,2012,ReadingDigital,HebrewOrthodox,,,,,,,,,,,466,,,
PISA,2012,ReadingDigital,Arabic,340,,,77,18,4,,,,313,364,332,335,373
PISA,2012,ReadingDigital,OECD,497,,,18,22,30,22,8,,484,510,,,
PISA,2012,ReadingDigital,Israel,461,,,31,22,24,17,6,,,,,,
PISA,2012,Science,Hebrew,492,,7,14,24,28,20,7,1,493,490,444,488,539
PISA,2012,Science,HebrewOfficial,506,,,,,,,,,511,500,460,497,544
PISA,2012,Science,HebrewReligious,492,,,,,,,,,492,493,448,492,534
PISA,2012,Science,HebrewOrthodox,,,,,,,,,,,462,,,
PISA,2012,Science,Arabic,394,,25,32,26,13,3,,,382,405,383,396,432
PISA,2012,Science,OECD,501,,5,13,25,29,20,7,1,502,500,,,
PISA,2012,Science,Israel,470,,11,18,25,24,16,5,1,,,,,
PISA,2009,Reading,Israel,474,3.9,8,14.7,22.5,25.5,18.1,6.4,1,,,,,
PISA,2009,Reading,OECD,493,1.1,4.6,13.1,24,28.9,20,6.8,0.8,,,,,
PISA,2009,Reading,Hebrew,498,,,,,,,,,480,515,,,
PISA,2009,Reading,Arabic,392,,,,,,,,,359,424,,,
PISA,2009,Reading,HebrewOfficial,501,,,,,,,,,407,516,,,
PISA,2009,Reading,HebrewReligious,503,,,,,,,,,404,530,,,
PISA,2009,Reading,HebrewOrthodox,,,,,,,,,,,499,,,
PISA,2009,Math,Hebrew,470,,,,,,,,,477,463,,,
PISA,2009,Math,HebrewOfficial,476,,,,,,,,,486,466,,,
PISA,2009,Math,HebrewReligious,471,,,,,,,,,476,464,,,
PISA,2009,Math,HebrewOrthodox,,,,,,,,,,,453,,,
PISA,2009,Math,Arabic,367,,,,,,,,,361,373,,,
PISA,2009,Math,OECD,496,,,,,,,,,501,490,,,
PISA,2009,Math,Israel,447,,,,,,,,,451,443,,,
PISA,2009,Science,Hebrew,476,,,,,,,,,478,474,,,
PISA,2009,Science,HebrewOfficial,482,,,,,,,,,486,479,,,
PISA,2009,Science,HebrewReligious,477,,,,,,,,,473,483,,,
PISA,2009,Science,HebrewOrthodox,,,,,,,,,,,,,,
PISA,2009,Science,Arabic,382,,,,,,,,,371,392,,,
PISA,2009,Science,OECD,501,,,,,,,,,501,501,,,
PISA,2009,Science,Israel,455,,,,,,,,,453,456,,,
PISA,2009,ReadingVariance,Hebrew,123,,,,,,,,,140,101,,,
PISA,2009,ReadingVariance,HebrewOfficial,115,,,,,,,,,124,100,,,
PISA,2009,ReadingVariance,HebrewReligious,138,,,,,,,,,145,115,,,
PISA,2009,ReadingVariance,HebrewOrthodox,,,,,,,,,,,81,,,
PISA,2009,ReadingVariance,Arabic,113,,,,,,,,,108,93,,,
PISA,2009,ReadingVariance,OECD,,,,,,,,,,,,,,
PISA,2009,ReadingVariance,Israel,144,,,,,,,,,162,116,,,
