year,sbj,topic,grp,mean,level1c,level1b,level1a,level2,level3,level4,level5,level6,men,women,lower,middle,high
2012,Math,General,Hebrew,489,,10,14,22,24,18,9,3,496,481,440,486,536
2012,Math,General,HebrewOfficial,500,,,,,,,,,512,489,453,491,539
2012,Math,General,HebrewReligious,488,,,,,,,,,495,478,437,491,531
2012,Math,General,HebrewOrthodox,,,,,,,,,,,465,,,
2012,Math,General,Arabic,388,,37,30,20,10,3,,,383,392,373,391,430
2012,Math,General,OECD,494,,8,15,22,24,18,9,3,499,489,,,
2012,Math,General,Israel,466,,16,18,22,21,15,7,2,,,,,
2012,Math,CompExam,Hebrew,467,,15,16,23,23,16,7,1,471,463,420,461,512
2012,Math,CompExam,HebrewOfficial,479,,,,,,,,,487,471,433,470,516
2012,Math,CompExam,HebrewReligious,466,,,,,,,,,462,471,413,464,509
2012,Math,CompExam,HebrewOrthodox,,,,,,,,,,,435,,,
2012,Math,CompExam,Arabic,375,,42,25,20,10,3,,,363,385,365,373,404
2012,Math,CompExam,OECD,497,,7,13,23,26,20,9,3,503,491,,,
2012,Math,CompExam,Israel,447,,21,18,22,20,13,5,1,,,,,
2012,Reading,General,Hebrew,510,2,4,10,19,28,25,10,2,490,529,469,508,551
2012,Reading,General,HebrewOfficial,521,,,,,,,,,505,537,480,514,557
2012,Reading,General,HebrewReligious,506,,,,,,,,,493,525,472,505,542
2012,Reading,General,HebrewOrthodox,,,,,,,,,,,512,,,
2012,Reading,General,Arabic,401,10,16,24,28,17,5,1,,363,435,394,403,434
2012,Reading,General,OECD,496,1,4,12,23,29,21,7,1,478,515,,,
2012,Reading,General,Israel,486,4,7,13,21,25,21,8,2,,,,,
2012,Reading,Digital,Hebrew,495,,,18,23,29,22,8,,483,508,454,492,538
2012,Reading,Digital,HebrewOfficial,513,,,,,,,,,504,521,467,505,547
2012,Reading,Digital,HebrewReligious,480,,,,,,,,,460,513,439,479,517
2012,Reading,Digital,HebrewOrthodox,,,,,,,,,,,466,,,
2012,Reading,Digital,Arabic,340,,,77,18,4,,,,313,364,332,335,373
2012,Reading,Digital,OECD,497,,,18,22,30,22,8,,484,510,,,
2012,Reading,Digital,Israel,461,,,31,22,24,17,6,,,,,,
2012,Science,General,Hebrew,492,,7,14,24,28,20,7,1,493,490,444,488,539
2012,Science,General,HebrewOfficial,506,,,,,,,,,511,500,460,497,544
2012,Science,General,HebrewReligious,492,,,,,,,,,492,493,448,492,534
2012,Science,General,HebrewOrthodox,,,,,,,,,,,462,,,
2012,Science,General,Arabic,394,,25,32,26,13,3,,,382,405,383,396,432
2012,Science,General,OECD,501,,5,13,25,29,20,7,1,502,500,,,
2012,Science,General,Israel,470,,11,18,25,24,16,5,1,,,,,
2009,Reading,General,Israel,474,3.9,8,14.7,22.5,25.5,18.1,6.4,1,452,495,,,
2009,Reading,General,OECD,493,1.1,4.6,13.1,24,28.9,20.7,6.8,0.8,474,513,,,
2009,Reading,General,Hebrew,498,,,,,,,,,480,515,,,
2009,Reading,General,Arabic,392,,,,,,,,,359,424,,,
2009,Reading,General,HebrewOfficial,501,,,,,,,,,407,516,,,
2009,Reading,General,HebrewReligious,503,,,,,,,,,404,530,,,
2009,Reading,General,HebrewOrthodox,,,,,,,,,,,499,,,
2009,Math,General,Hebrew,470,,,,,,,,,477,463,,,
2009,Math,General,HebrewOfficial,476,,,,,,,,,486,466,,,
2009,Math,General,HebrewReligious,471,,,,,,,,,476,464,,,
2009,Math,General,HebrewOrthodox,,,,,,,,,,,453,,,
2009,Math,General,Arabic,367,,,,,,,,,361,373,,,
2009,Math,General,OECD,496,,,,,,,,,501,490,,,
2009,Math,General,Israel,447,,,,,,,,,451,443,,,
2009,Science,General,Hebrew,476,,,,,,,,,478,474,,,
2009,Science,General,HebrewOfficial,482,,,,,,,,,486,479,,,
2009,Science,General,HebrewReligious,477,,,,,,,,,473,483,,,
2009,Science,General,HebrewOrthodox,,,,,,,,,,,,,,
2009,Science,General,Arabic,382,,,,,,,,,371,392,,,
2009,Science,General,OECD,501,,,,,,,,,501,501,,,
2009,Science,General,Israel,455,,,,,,,,,453,456,,,
2009,Reading,Variance,Hebrew,123,,,,,,,,,140,101,,,
2009,Reading,Variance,HebrewOfficial,115,,,,,,,,,124,100,,,
2009,Reading,Variance,HebrewReligious,138,,,,,,,,,145,115,,,
2009,Reading,Variance,HebrewOrthodox,,,,,,,,,,,81,,,
2009,Reading,Variance,Arabic,113,,,,,,,,,108,93,,,
2009,Reading,Variance,OECD,,,,,,,,,,,,,,
2009,Reading,Variance,Israel,144,,,,,,,,,162,116,,,
2012,Math,uncertaintyNdata,Hebrew,487,,,,,,,,,495,479,,,
2012,Math,spanceNshape,Hebrew,470,,,,,,,,,477,463,,,
2012,Math,quantities,Hebrew,506,,,,,,,,,515,498,,,
2012,Math,changeNrelations,Hebrew,484,,,,,,,,,492,476,,,
2012,Math,interpretation,Hebrew,485,,,,,,,,,496,475,,,
2012,Math,wording,Hebrew,488,,,,,,,,,497,480,,,
2012,Math,implementation,Hebrew,489,,,,,,,,,495,484,,,
2012,Math,uncertaintyNdata,Arabic,389,,,,,,,,,383,394,,,
2012,Math,spanceNshape,Arabic,376,,,,,,,,,374,378,,,
2012,Math,quantities,Arabic,386,,,,,,,,,380,392,,,
2012,Math,changeNrelations,Arabic,386,,,,,,,,,383,388,,,
2012,Math,interpretation,Arabic,378,,,,,,,,,375,381,,,
2012,Math,wording,Arabic,380,,,,,,,,,378,382,,,
2012,Math,implementation,Arabic,396,,,,,,,,,391,400,,,
2012,Math,uncertaintyNdata,OECD,493,,,,,,,,,497,489,,,
2012,Math,spanceNshape,OECD,490,,,,,,,,,497,482,,,
2012,Math,quantities,OECD,495,,,,,,,,,501,490,,,
2012,Math,changeNrelations,OECD,493,,,,,,,,,498,487,,,
2012,Math,interpretation,OECD,497,,,,,,,,,502,492,,,
2012,Math,wording,OECD,492,,,,,,,,,499,484,,,
2012,Math,implementation,OECD,493,,,,,,,,,498,489,,,
2012,Math,uncertaintyNdata,Israel,465,,,,,,,,,,,,,
2012,Math,spanceNshape,Israel,449,,,,,,,,,,,,,
2012,Math,quantities,Israel,480,,,,,,,,,,,,,
2012,Math,changeNrelations,Israel,462,,,,,,,,,,,,,
2012,Math,interpretation,Israel,462,,,,,,,,,,,,,
2012,Math,wording,Israel,465,,,,,,,,,,,,,
2012,Math,implementation,Israel,469,,,,,,,,,,,,,
